value
-55
-53
-56
-56
-53
-56
-57
-56
-57
-55
-57
-57
-51
-58
-56
-55
-57
-60
-57
-58
-59
-57
-58
-58
-54
-56
-55
-57
-53
-60
-60
-59
-51
-55
-57
-59
-56
-56
-60
-58
-59
-58
-57
-57
-58
-59
-58
-56
-58
-60
-57
-54
-59
-59
-57
-54
-55
-58
-59
-57
-60
-58
-57
-60
-56
-59
-56
-59
-59
-57
-52
-57
-56
-58
-54
-54
-56
-57
-55
-52
-55
-54
-56
-57
-53
-59
-56
-55
-55
-53
-57
-58
-55
-52
-56
-53
-55
-53
-60
-56
-57
-60
-56
-57
-60
-56
-57
-59
-57
-53
-55
-59
-58
-57
-55
-55
-56
-57
-55
-59
-60
-56
-56
-58
-55
-57
-57
-55
-59
-59
-57
-55
-55
-60
-60
-56
-53
-58
-57
-56
-57
-58
-56
-54
-56
-56
-57
-53
-55
-56
-52
-55
-54
-58
-57
-52
-57
-58
-52
-56
-59
-60
-60
-57
-55
-59
-51
-54
-58
-58
-58
-57
-55
-56
-57
-57
-58
-56
-53
-56
-56
-57
-56
-58
-56
-58
-59
-58
-56
-57
-57
-52
-58
-55
-56
-53
-54
-57
-57
-57
-57
-58
-56
-60
-56
-56
-52
-55
-56
-54
-53
-58
-60
-58
-56
-56
-58
-54
-58
-58
-56
-58
-52
-54
-58
-56
-56
-59
-59
-55
-57
-60
-56
-59
-58
-59
-56
-57
-56
-59
-58
-56
-56
-55
-57
-55
-55
-55
-54
-57
-57
-59
-58
-56
-54
-56
-58
-56
-54
-53
-55
-57
-52
-58
-59
-52
-56
-58
-56
-60
-56
-56
-55
-55
-57
-61
-56
-55
-55
-57
-60
-58
-55
-56
-56
-54
-59
-59
-56
-57
-58
-60
-58
-60
-60
-56
-57
-58
-57
-59
-56
-58
-60
-56
-57
-58
-59
-56
-57
-57
-56
-57
-58
-57
-56
-56
-57
-56
-58
-57
-56
-54
-53
-57
-57
-56
-56
-51
-57
-57
-55
-57
-56
-58
-58
-56
-60
-58
-56
-58
-59
-57
-59
-57
-52
-52
-55
-51
-57
-75
-74
-70
-73
-73
-74
-70
-70
-70
-72
-70
-74
-69
-74
-74
-74
-71
-71
-72
-69
-69
-73
-73
-69
-71
-71
-72
-72
-73
-71
-71
-69
-70
-73
-73
-73
-73
-72
-71
-72
-72
-69
-73
-74
-71
-74
-71
-75
-72
-70
-71
-70
-71
-72
-75
-73
-72
-74
-71
-72
-68
-70
-71
-71
-72
-71
-71
-74
-75
-72
-72
-73
-72
-72
-72
-71
-73
-73
-74
-69
-71
-73
-72
-74
-72
-71
-74
-75
-55
-57
-53
-58
-56
-58
-55
-54
-59
-57
-57
-58
-59
-56
-60
-58
-52
-58
-54
-57
-51
-56
-55
-53
-57
-51
-56
-51
-54
-59
-52
-54
-55
-56
-58
-59
-56
-57
-58
-58
-57
-52
-55
-53
-56
-59
-54
-54
-57
-57
-57
-57
-59
-57
-54
-57
-58
-56
-57
-59
-54
-54
-55
-59
-56
-57
-60
-57
-51
-53
-57
-59
-58
-57
-54
-57
-53
-52
-57
-55
-56
-56
-55
-55
-58
-59
-56
-56
-57
-57
-57
-57
-57
-55
-59
-56
-55
-54
-54
-54
-55
-55
-57
-55
-58
-56
-58
-61
-52
-57
-53
-56
-57
-57
-57
-57
-53
-57
-56
-54
-54
-57
-57
-56
-53
-59
-55
-55
-54
-57
-56
-56
-55
-56
-57
-57
-57
-54
-53
-58
-54
-59
-60
-55
-54
-56
-57
-56
-56
-55
-52
-54
-58
-57
-57
-53
-53
-57
-57
-57
-53
-57
-51
-51
-56
-60
-58
-57
-59
-54
-58
-57
-60
-55
-52
-49
-72
-68
-67
-71
-70
-72
-65
-70
-71
-70
-72
-73
